additive_.C3_NMR_shift,additive_.C3_electrostatic_charge,additive_.C4_NMR_shift,additive_.C4_electrostatic_charge,additive_.C5_NMR_shift,additive_.C5_electrostatic_charge,additive_.N1_electrostatic_charge,additive_.O1_electrostatic_charge,additive_E_HOMO,additive_E_LUMO,additive_V1_frequency,additive_V1_intensity,additive_dipole_moment,additive_electronegativity,additive_hardness,additive_molecular_volume,additive_molecular_weight,additive_ovality,additive_surface_area,aryl_halide_.C1_NMR_shift,aryl_halide_.C1_electrostatic_charge,aryl_halide_.C2_NMR_shift,aryl_halide_.C2_electrostatic_charge,aryl_halide_.C3_NMR_shift,aryl_halide_.C3_electrostatic_charge,aryl_halide_.C4_NMR_shift,aryl_halide_.C4_electrostatic_charge,aryl_halide_.H2_NMR_shift,aryl_halide_.H2_electrostatic_charge,aryl_halide_.H3_NMR_shift,aryl_halide_.H3_electrostatic_charge,aryl_halide_E_HOMO,aryl_halide_E_LUMO,aryl_halide_V1_frequency,aryl_halide_V1_intensity,aryl_halide_V2_frequency,aryl_halide_V2_intensity,aryl_halide_V3_frequency,aryl_halide_V3_intensity,aryl_halide_dipole_moment,aryl_halide_electronegativity,aryl_halide_hardness,aryl_halide_molecular_volume,aryl_halide_molecular_weight,aryl_halide_ovality,aryl_halide_surface_area,base_.N1_electrostatic_charge,base_E_HOMO,base_E_LUMO,base_dipole_moment,base_electronegativity,base_hardness,base_molecular_volume,base_molecular_weight,base_ovality,base_surface_area,ligand_.C10_NMR_shift,ligand_.C10_electrostatic_charge,ligand_.C11_NMR_shift,ligand_.C11_electrostatic_charge,ligand_.C12_NMR_shift,ligand_.C12_electrostatic_charge,ligand_.C13_NMR_shift,ligand_.C13_electrostatic_charge,ligand_.C14_NMR_shift,ligand_.C14_electrostatic_charge,ligand_.C15_NMR_shift,ligand_.C15_electrostatic_charge,ligand_.C16_NMR_shift,ligand_.C16_electrostatic_charge,ligand_.C17_NMR_shift,ligand_.C17_electrostatic_charge,ligand_.C1_NMR_shift,ligand_.C1_electrostatic_charge,ligand_.C2_NMR_shift,ligand_.C2_electrostatic_charge,ligand_.C3_NMR_shift,ligand_.C3_electrostatic_charge,ligand_.C4_NMR_shift,ligand_.C4_electrostatic_charge,ligand_.C5_NMR_shift,ligand_.C5_electrostatic_charge,ligand_.C6_NMR_shift,ligand_.C6_electrostatic_charge,ligand_.C7_NMR_shift,ligand_.C7_electrostatic_charge,ligand_.C8_NMR_shift,ligand_.C8_electrostatic_charge,ligand_.C9_NMR_shift,ligand_.C9_electrostatic_charge,ligand_.H11_NMR_shift,ligand_.H11_electrostatic_charge,ligand_.H3_NMR_shift,ligand_.H3_electrostatic_charge,ligand_.H4_NMR_shift,ligand_.H4_electrostatic_charge,ligand_.H9_NMR_shift,ligand_.H9_electrostatic_charge,ligand_.P1_electrostatic_charge,ligand_V10_frequency,ligand_V10_intensity,ligand_V1_frequency,ligand_V1_intensity,ligand_V2_frequency,ligand_V2_intensity,ligand_V3_frequency,ligand_V3_intensity,ligand_V4_frequency,ligand_V4_intensity,ligand_V5_frequency,ligand_V5_intensity,ligand_V6_frequency,ligand_V6_intensity,ligand_V7_frequency,ligand_V7_intensity,ligand_V8_frequency,ligand_V8_intensity,ligand_V9_frequency,ligand_V9_intensity,ligand_dipole_moment,yield
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,139.77,0.128,122.5,-0.139,120.97,-0.154,124.83,0.07,7.15,0.143,7.4,0.15,-0.2648,-0.0396,731.482,2.868,1351.72,3.211,1634.876,5.078,0.770806,0.15,0.11,145.02,180.556,1.247,166.46,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,10.65781182
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,138.83,-0.093,125.65,0.015,120.95,-0.223,125.53,0.13,7.3,0.1,7.37,0.156,-0.2616,-0.0413,729.711,3.216,1349.391,2.487,1632.664,3.838,0.754193,0.15,0.11,149.53,225.012,1.256,171.08,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,14.7478961
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,48.97,-0.183,111.35,0.061,181.37,-0.245,2032,0.153,377.98,0.083,274.16,0.157,-0.2525,-0.0429,727.38,3.162,1346.735,1.777,1626.855,3.008,1.059432,0.15,0.1,156.41,272.003,1.266,177.78,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,18.27868619
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,127.68,0.021,123.14,-0.045,112.08,-0.405,149.13,0.517,6.96,0.137,6.62,0.19,-0.2202,-0.0118,703.578,0.047,1351.34,54.421,1632.373,10.492,2.894904,0.12,0.1,140.11,142.585,1.231,160.65,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,2.475057616
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,125.44,-0.101,126.17,0.04,112.39,-0.394,149.68,0.497,7.11,0.099,6.61,0.18,-6,-0.35,1629.822,12.317,1532.172,94.322,1653.924,37.812,2.97534,3.18,2.82,144.61,187.036,1.24,165.27,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,6.119058475
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,-625.55,-0.377,15.99,0.195,54.25,-0.509,739.36,0.617,353.41,0.08,296.62,0.198,-0.2176,-0.0269,699.275,0.096,1346.557,77.439,1624.512,12.804,2.775967,0.12,0.1,151.48,234.032,1.251,171.95,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,5.449924218
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,134.17,0.186,122.17,-0.205,122.67,-0.156,135.26,0.125,6.98,0.146,6.98,0.136,-0.2373,-0.0104,728.032,2.439,1359.048,0.053,1629.804,0.56,2.32974,0.12,0.11,149.79,140.613,1.255,171.15,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,7.802080337
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,132.85,-0.025,125.36,-0.058,122.91,-0.211,136.02,0.167,7.11,0.104,6.97,0.14,-0.2364,-0.0115,725.09,2.58,1284.067,0.009,1627.294,0.213,2.410215,0.12,0.11,154.31,185.069,1.263,175.78,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,14.23417841
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,-339.2,-0.139,123.94,0.009,422.73,-0.248,2119.19,0.2,409.74,0.084,428,0.143,-0.2309,-0.0286,722.886,2.419,1283.563,0.002,1621.037,0.046,2.177715,0.13,0.1,161.18,232.06,1.274,182.46,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,15.41389344
143.12,0.223,93.06,-0.447,162.34,0.292,-0.334,-0.057,-0.2317,-0.0487,906.164,3.681,3.210447,0.14,0.09,154.41,145.161,1.228,170.87,154.47,0.537,118.48,-0.436,129.84,0.194,114.94,-0.432,6.93,0.175,7.31,0.088,-0.2614,-0.0375,745.004,0.013,1316.305,2.086,1628.39,47.034,3.519084,0.15,0.11,106.57,113.547,1.155,125.53,-0.755,-0.1703,0.0569,5.039158,0.06,0.11,376.47,339.409,1.685,424.9,139.58,0.124,114.03,-0.248,140.09,-0.081,33.08,0.584,38.44,0.461,33.24,0.682,40.72,0.542,35.45,0.606,135.09,0.143,125.13,-0.247,119.33,-0.14,121.04,-0.12,125.28,-0.271,143.11,0.256,133.49,-0.05,140.4,0.025,118.03,-0.359,7.15,0.137,7.22,0.131,7.19,0.132,6.93,0.131,-0.676,3072.225,66.18,900.827,11.173,992.22,0.009,1349.505,0.251,1356.691,6.992,1360.565,0.955,1640.307,4.414,3026.561,16.577,3043.097,18.145,3064.344,38.21,1.212924,9.46569581
