Row,Ligand,Additive (Plate 1),Additive (Plate 2),Additive (Plate 3)
1,XPhos,,8,23
2,XPhos,2,10,17
3,XPhos,4,12,19
4,XPhos,6,14,21
5,t-BuXPhos,,8,23
6,t-BuXPhos,2,10,17
7,t-BuXPhos,4,12,19
8,t-BuXPhos,6,14,21
9,t-BuBrettPhos,,8,23
10,t-BuBrettPhos,2,10,17
11,t-BuBrettPhos,4,12,19
12,t-BuBrettPhos,6,14,21
13,AdBrettPhos,,8,23
14,AdBrettPhos,2,10,17
15,AdBrettPhos,4,12,19
16,AdBrettPhos,6,14,21
17,XPhos,1,9,16
18,XPhos,3,11,18
19,XPhos,5,13,20
20,XPhos,7,15,22
21,t-BuXPhos,1,9,16
22,t-BuXPhos,3,11,18
23,t-BuXPhos,5,13,20
24,t-BuXPhos,7,15,22
25,t-BuBrettPhos,1,9,16
26,t-BuBrettPhos,3,11,18
27,t-BuBrettPhos,5,13,20
28,t-BuBrettPhos,7,15,22
29,AdBrettPhos,1,9,16
30,AdBrettPhos,3,11,18
31,AdBrettPhos,5,13,20
32,AdBrettPhos,7,15,22
