product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_CF3product Rt(min),UV210_CF3product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_Add_6 Rt(min),UV210_Add_6 AreaAbs,UV210_Additive2 Rt(min),UV210_Additive2 AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_Add_4 Rt(min),UV210_Add_4 AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2-pyr-Cl Rt(min),UV210_2-pyr-Cl AreaAbs,UV210_2-py_product Rt(min),UV210_2-py_product AreaAbs,UV210_2-pyr-Br Rt(min),UV210_2-pyr-Br AreaAbs,UV210_2-pyr-I Rt(min),UV210_2-pyr-I AreaAbs,UV210_3-py_product Rt(min),UV210_3-py_product AreaAbs,UV210_3-pyr-Cl Rt(min),UV210_3-pyr-Cl AreaAbs,UV210_3-pyr-Br Rt(min),UV210_3-pyr-Br AreaAbs,UV210_3-pyr-I Rt(min),UV210_3-pyr-I AreaAbs
49912.71291,,14511.76925,1.042356705,26.8886154,0,2016-Dec14-1536-CN-Plate1-1-2.Raw,2016-dec14-1536-cn-plate1-1-2.raw,1:A,0.464,6705.69004,1.401,49912.71291,1.778,1221.07782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46876.34031,,15229.21474,1.042356705,24.0632241,0,2016-Dec14-1536-CN-Plate1-17.Raw,2016-dec14-1536-cn-plate1-17.raw,2:A,0.463,16373.05218,1.393,46876.34031,1.771,15229.21474,0,0,0,0,0,0,1.266,1749.97356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111688.0039,,18375.78594,1.042356705,47.51582059,0,2016-Dec14-1536-CN-Plate1-33.Raw,2016-dec14-1536-cn-plate1-33.raw,3:A,0.462,2614.14943,1.393,111688.0039,1.77,18375.78594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5426.8111,,18154.89427,0.948682226,2.126831127,0,2016-Dec14-1536-CN-Plate1-49.Raw,2016-dec14-1536-cn-plate1-49.raw,4:A,0.465,35135.88265,0,0,1.77,18154.89427,0,0,0,0,0,0,0,0,0,0,0,0,1.073,19976.09383,1.221,5426.8111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132197.0401,,19766.11537,0.948682226,47.58635419,0,2016-Dec14-1536-CN-Plate1-65.Raw,2016-dec14-1536-cn-plate1-65.raw,5:A,0.464,3852.64238,0,0,1.771,19766.11537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,132197.0401,1.111,4653.88546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127927.6759,,18182.57833,0.948682226,50.06002592,0,2016-Dec14-1536-CN-Plate1-81.Raw,2016-dec14-1536-cn-plate1-81.raw,6:A,0.464,1958.08996,0,0,1.77,18182.57833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,127927.6759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48873.42113,,18415.28353,1.337543187,26.62339329,0,2016-Dec14-1536-CN-Plate1-97.Raw,2016-dec14-1536-cn-plate1-97.raw,7:A,0.465,23176.32144,0,0,1.77,18415.28353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.308,10345.61221,1.418,48873.42113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138537.3329,,19312.09081,1.337543187,71.96255996,0,2016-Dec14-1536-CN-Plate1-113.Raw,2016-dec14-1536-cn-plate1-113.raw,8:A,0.464,1645.2195,0,0,1.771,19312.09081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.419,138537.3329,1.339,5805.2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145615.5873,,19821.0089,1.337543187,73.69723373,0,2016-Dec14-1536-CN-Plate1-129.Raw,2016-dec14-1536-cn-plate1-129.raw,9:A,0,0,0,0,1.77,19821.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418,145615.5873,0,0,1.396,337.73986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18975.23537,,22501.34794,2.843725517,17.98570951,0,2016-Dec14-1536-CN-Plate1-145.Raw,2016-dec14-1536-cn-plate1-145.raw,10:A,0.465,31846.98743,0,0,1.77,22501.34794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,13485.57677,0.75,18975.23537,0,0,0,0,0,0,0,0,0,0,0,0
