product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Additive_2 Rt(min),UV210_Additive_2 AreaAbs,UV210_Additive_4 Rt(min),UV210_Additive_4 AreaAbs,UV210_Additive_6 Rt(min),UV210_Additive_6 AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs
63035.26238,,18981.12836,1.337543187,33.31429413,0,2016-Dec14-1536-CN-Plate2-1.Raw,2016-dec14-1536-cn-plate2-1.raw,1:A,0.465,23792.46614,1.391,18753.35990,1.417,63035.26238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,18981.12836
28511.17865,,21565.29685,2.843725517,28.19737429,0,2016-Dec14-1536-CN-Plate2-17.Raw,2016-dec14-1536-cn-plate2-17.raw,2:A,0.466,30933.91749,0,0,0,0,0,0,0,0,0,0,0.576,12547.95233,0.752,28511.17865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,21565.29685
47122.64014,,19469.03815,2.843725517,51.62190853,0,2016-Dec14-1536-CN-Plate2-33.Raw,2016-dec14-1536-cn-plate2-33.raw,3:A,0.466,21833.95243,0,0,0,0,0,0,0,0,0,0,0,0,0.754,47122.64014,0.628,13027.44770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,19469.03815
51955.14271,,20046.47210,2.843725517,55.27637145,0,2016-Dec14-1536-CN-Plate2-49.Raw,2016-dec14-1536-cn-plate2-49.raw,4:A,0.465,19097.91308,0,0,0,0,0,0,0,0,0,0,0,0,0.754,51955.14271,0,0,0.703,10669.61190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,20046.47210
17348.05782,,20038.88978,2.174082389,14.11609154,0,2016-Dec14-1536-CN-Plate2-65.Raw,2016-dec14-1536-cn-plate2-65.raw,5:A,0.467,36639.11519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,9669.12582,0.721,17348.05782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,20038.88978
36550.52094,,20973.92736,2.174082389,28.41522329,0,2016-Dec14-1536-CN-Plate2-81.Raw,2016-dec14-1536-cn-plate2-81.raw,6:A,0.468,32610.83251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,36550.52094,0.645,15343.88180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.772,20973.92736
47824.75229,,18780.06610,2.174082389,41.52339687,0,2016-Dec14-1536-CN-Plate2-97.Raw,2016-dec14-1536-cn-plate2-97.raw,7:A,0.466,25819.94358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,47824.75229,0,0,0.705,14937.30413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,18780.06610
,,19292.22682,,0,0,2016-Dec14-1536-CN-Plate2-113.Raw,2016-dec14-1536-cn-plate2-113.raw,8:A,0.470,42574.25406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.772,19292.22682
40089.22293,,19871.07235,1.042356705,15.77189806,0,2016-Dec14-1536-CN-Plate2-129.Raw,2016-dec14-1536-cn-plate2-129.raw,9:A,0.467,33545.26752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392,40089.22293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19871.07235
82545.01110,,20148.50228,1.042356705,32.02769538,0,2016-Dec14-1536-CN-Plate2-145.Raw,2016-dec14-1536-cn-plate2-145.raw,10:A,0.466,17083.09511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392,82545.01110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,20148.50228
110827.6478,,20069.40865,1.042356705,43.17090647,0,2016-Dec14-1536-CN-Plate2-161.Raw,2016-dec14-1536-cn-plate2-161.raw,11:A,0.468,3765.82029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,110827.6478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.772,20069.40865
4462.19720,,20684.09451,0.948682226,1.534950141,0,2016-Dec14-1536-CN-Plate2-177.Raw,2016-dec14-1536-cn-plate2-177.raw,12:A,0.468,41116.34500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074,20320.53253,1.221,4462.19720,0,0,0,0,0,0,0,0,1.771,20684.09451
31180.28200,,19967.44004,0.948682226,11.11065538,0,2016-Dec14-1536-CN-Plate2-193.Raw,2016-dec14-1536-cn-plate2-193.raw,13:A,0.470,35348.23737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223,31180.28200,1.113,30162.10317,0,0,0,0,0,0,1.771,19967.44004
73964.73973,,19102.14899,0.948682226,27.55018583,0,2016-Dec14-1536-CN-Plate2-209.Raw,2016-dec14-1536-cn-plate2-209.raw,14:A,0.467,26125.86053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,73964.73973,0,0,1.171,28053.74870,0,0,0,0,1.770,19102.14899
14010.72281,,19600.16491,1.337543187,7.170837693,0,2016-Dec14-1536-CN-Plate2-225.Raw,2016-dec14-1536-cn-plate2-225.raw,15:A,0.470,36786.26466,0,0,1.421,14010.72281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,14652.11904,0,0,1.772,19600.16491
58439.62025,,19412.58921,1.337543187,30.19903029,0,2016-Dec14-1536-CN-Plate2-241.Raw,2016-dec14-1536-cn-plate2-241.raw,16:A,0.469,27722.94619,0,0,1.420,58439.62025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340,19366.84391,1.771,19412.58921
121443.2564,,18251.32565,1.337543187,66.74950767,0,2016-Dec14-1536-CN-Plate2-257.Raw,2016-dec14-1536-cn-plate2-257.raw,17:A,0.468,9484.55901,1.392,5916.82133,1.419,121443.2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,18251.32565
27648.92333,,19930.78515,2.843725517,29.58712422,0,2016-Dec14-1536-CN-Plate2-273.Raw,2016-dec14-1536-cn-plate2-273.raw,18:A,0.468,30081.10987,0,0,0,0,0,0,0,0,0,0,0.576,12371.27465,0.754,27648.92333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19930.78515
47501.57787,,18454.30681,2.843725517,54.89834317,0,2016-Dec14-1536-CN-Plate2-289.Raw,2016-dec14-1536-cn-plate2-289.raw,19:A,0.467,14726.99107,0,0,0,0,0,0,0,0,0,0,0,0,0.754,47501.57787,0.627,13997.49231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,18454.30681
57496.25494,,18220.33541,2.843725517,67.3026444,0,2016-Dec14-1536-CN-Plate2-305.Raw,2016-dec14-1536-cn-plate2-305.raw,20:A,0.467,11605.06496,0,0,0,0,0,0,0,0,0,0,0,0,0.754,57496.25494,0,0,0.702,4933.18577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,18220.33541
14168.56778,,17091.04342,2.174082389,13.51744578,0,2016-Dec14-1536-CN-Plate2-321.Raw,2016-dec14-1536-cn-plate2-321.raw,21:A,0.469,30050.80651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,8529.31460,0.722,14168.56778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,17091.04342
34922.92252,,17024.13245,2.174082389,33.44897797,0,2016-Dec14-1536-CN-Plate2-337.Raw,2016-dec14-1536-cn-plate2-337.raw,22:A,0.468,25053.87558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,34922.92252,0.643,13013.71342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,17024.13245
48955.10248,,15912.54833,2.174082389,50.16438472,0,2016-Dec14-1536-CN-Plate2-353.Raw,2016-dec14-1536-cn-plate2-353.raw,23:A,0.468,16168.23273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,48955.10248,0,0,0.705,10104.86462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,15912.54833
,,15761.12470,,0,0,2016-Dec14-1536-CN-Plate2-369.Raw,2016-dec14-1536-cn-plate2-369.raw,24:A,0.468,35019.07833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,15761.12470
52758.82757,47209.43571,21107.97177,1.337543187,25.0736586,16.77426765,2016-Dec14-1536-CN-Plate2-2.Raw,2016-dec14-1536-cn-plate2-2.raw,1:B,0.465,32820.21875,1.391,23775.21485,1.418,52758.82757,0.897,47209.43571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,21107.97177
23206.51879,46027.57845,22843.80485,2.843725517,21.66658644,15.11161738,2016-Dec14-1536-CN-Plate2-18.Raw,2016-dec14-1536-cn-plate2-18.raw,2:B,0.467,37133.75428,0,0,0,0,0.899,46027.57845,0,0,0,0,0.577,14141.10447,0.753,23206.51879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,22843.80485
