product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Additive_7 Rt(min),UV210_Additive_7 AreaAbs,UV210_Additive_3 Rt(min),UV210_Additive_3 AreaAbs,UV210_Additive_5 Rt(min),UV210_Additive_5 AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_Additive_1 Rt(min),UV210_Additive_1 AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs
22046.23097,0,13623.18484,1.042356705,12.6512469,0,2016-Dec14-1536-CN-Plate3-1.Raw,2016-dec14-1536-cn-plate3-1.raw,1:A,0.465,26741.86756,1.391,22046.23097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.768,13623.18484
33206.76868,0,18761.15585,1.042356705,13.83708642,0,2016-Dec14-1536-CN-Plate3-17.Raw,2016-dec14-1536-cn-plate3-17.raw,2:A,0.467,32274.15413,1.392,33206.76868,0,0,0,0,0,0,1.266,7504.65267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,18761.15585
38215.77576,0,19871.76422,1.042356705,15.0343232,0,2016-Dec14-1536-CN-Plate3-33.Raw,2016-dec14-1536-cn-plate3-33.raw,3:A,0.467,28352.12987,1.392,38215.77576,0,0,0,0,0,0,0,0,0,0,1.311,17834.03183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,19871.76422
5390.93219,0,20656.93409,0.948682226,1.856863727,0,2016-Dec14-1536-CN-Plate3-49.Raw,2016-dec14-1536-cn-plate3-49.raw,4:A,0.468,39590.58413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,27376.98242,1.221,5390.93219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,20656.93409
12665.38017,0,20741.62577,0.948682226,4.344676685,0,2016-Dec14-1536-CN-Plate3-65.Raw,2016-dec14-1536-cn-plate3-65.raw,5:A,0.469,39913.43544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,12665.38017,1.111,34237.64806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,20741.62577
16366.37048,0,19501.79040,0.948682226,5.971176669,0,2016-Dec14-1536-CN-Plate3-81.Raw,2016-dec14-1536-cn-plate3-81.raw,6:A,0.469,38797.28812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,16366.37048,0,0,1.172,47231.79401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.771,19501.79040
16463.72239,0,19843.01137,1.337543187,8.323184663,0,2016-Dec14-1536-CN-Plate3-97.Raw,2016-dec14-1536-cn-plate3-97.raw,7:A,0.468,34371.11455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.308,17317.34607,1.418,16463.72239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19843.01137
25832.93040,0,19562.65648,1.337543187,13.24692026,0,2016-Dec14-1536-CN-Plate3-113.Raw,2016-dec14-1536-cn-plate3-113.raw,8:A,0.467,35449.31970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417,25832.93040,1.338,27474.90736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,19562.65648
29652.45247,0,19815.14572,1.337543187,15.01178808,0,2016-Dec14-1536-CN-Plate3-129.Raw,2016-dec14-1536-cn-plate3-129.raw,9:A,0.468,34942.84782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.418,29652.45247,0,0,1.392,33723.24681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19815.14572
12593.43222,0,20683.44436,2.843725517,12.98584411,0,2016-Dec14-1536-CN-Plate3-145.Raw,2016-dec14-1536-cn-plate3-145.raw,10:A,0.468,37206.51832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,19509.15635,0.754,12593.43222,0,0,0,0,0,0,0,0,0,0,0,0,1.770,20683.44436
15459.48290,0,19295.84161,2.843725517,17.08756486,0,2016-Dec14-1536-CN-Plate3-161.Raw,2016-dec14-1536-cn-plate3-161.raw,11:A,0.468,34543.99376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,15459.48290,0.627,30539.87134,0,0,0,0,0,0,0,0,0,0,1.770,19295.84161
17471.52529,0,19186.52571,2.843725517,19.42152909,0,2016-Dec14-1536-CN-Plate3-177.Raw,2016-dec14-1536-cn-plate3-177.raw,12:A,0.467,34438.67965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753,17471.52529,0,0,0.701,27623.33281,0,0,0,0,0,0,0,0,1.769,19186.52571
77030.14477,0,20360.63350,2.174082389,61.68885211,0,2016-Dec14-1536-CN-Plate3-193.Raw,2016-dec14-1536-cn-plate3-193.raw,13:A,0.469,34790.92322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,14722.93988,0.780,77030.14477,0,0,0,0,1.770,20360.63350
81100.72525,0,20493.06385,2.174082389,64.52902546,0,2016-Dec14-1536-CN-Plate3-209.Raw,2016-dec14-1536-cn-plate3-209.raw,14:A,0.468,38325.07422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780,81100.72525,0.643,25649.22976,0,0,1.770,20493.06385
80263.22247,0,20237.98702,2.174082389,64.66756982,0,2016-Dec14-1536-CN-Plate3-225.Raw,2016-dec14-1536-cn-plate3-225.raw,15:A,0.469,37034.51626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780,80263.22247,0,0,0.705,29047.75179,1.770,20237.98702
,0,19245.99164,,0,0,2016-Dec14-1536-CN-Plate3-241.Raw,2016-dec14-1536-cn-plate3-241.raw,16:A,0.469,37439.09885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19245.99164
32100.30163,6406.04873,17587.11680,1.042356705,14.26895253,2.731850026,2016-Dec14-1536-CN-Plate3-257.Raw,2016-dec14-1536-cn-plate3-257.raw,17:A,0.467,25761.46492,1.392,32100.30163,0,0,0,0,0,0,0,0,0.879,6406.04873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,17587.11680
55961.54222,13798.86638,17548.60568,1.042356705,24.93013825,5.897419987,2016-Dec14-1536-CN-Plate3-273.Raw,2016-dec14-1536-cn-plate3-273.raw,18:A,0.467,17510.59955,1.392,55961.54222,0,0,0,0,0,0,1.266,7388.32491,0.878,13798.86638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,17548.60568
85807.94689,37280.45635,17400.95861,1.042356705,38.55067304,16.06827698,2016-Dec14-1536-CN-Plate3-289.Raw,2016-dec14-1536-cn-plate3-289.raw,19:A,0.467,8207.35217,1.392,85807.94689,0,0,0,0,0,0,0,0,0.879,37280.45635,1.312,5530.47250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,17400.95861
0,0,17343.18084,0.948682226,0,0,2016-Dec14-1536-CN-Plate3-305.Raw,2016-dec14-1536-cn-plate3-305.raw,20:A,0.468,35827.23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,23650.47792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,17343.18084
3175.79796,1915.44020,18458.12140,0.948682226,1.224185961,0.778291636,2016-Dec14-1536-CN-Plate3-321.Raw,2016-dec14-1536-cn-plate3-321.raw,21:A,0.469,38407.55482,0,0,0,0,0,0,0,0,0,0,0.879,1915.44020,0,0,0,0,1.221,3175.79796,1.111,32294.22990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,18458.12140
6126.90320,1605.86614,16555.02273,0.948682226,2.633257106,0.727513109,2016-Dec14-1536-CN-Plate3-337.Raw,2016-dec14-1536-cn-plate3-337.raw,22:A,0.468,35865.20638,0,0,0,0,0,0,0,0,0,0,0.878,1605.86614,0,0,0,0,1.221,6126.90320,0,0,1.171,38231.96909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,16555.02273
3275.54478,1984.11056,17002.45707,1.337543187,1.932595354,0.875216396,2016-Dec14-1536-CN-Plate3-353.Raw,2016-dec14-1536-cn-plate3-353.raw,23:A,0.469,34370.80715,0,0,0,0,0,0,0,0,0,0,0.880,1984.11056,0,0,0,0,0,0,0,0,0,0,1.308,16905.22849,1.418,3275.54478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,17002.45707
16190.71363,3934.08865,19260.16399,1.337543187,8.432863834,1.531952942,2016-Dec14-1536-CN-Plate3-369.Raw,2016-dec14-1536-cn-plate3-369.raw,24:A,0.466,35530.89483,0,0,0,0,0,0,0,0,0,0,0.879,3934.08865,0,0,0,0,0,0,0,0,0,0,0,0,1.418,16190.71363,1.338,31117.87583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,19260.16399
5888.09750,0,15504.63243,1.042356705,2.968869757,0,2016-Dec14-1536-CN-Plate3-2.Raw,2016-dec14-1536-cn-plate3-2.raw,1:B,0.466,22314.58716,1.392,5888.09750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,15504.63243
5949.69104,0,19446.18098,1.042356705,2.391870808,0,2016-Dec14-1536-CN-Plate3-18.Raw,2016-dec14-1536-cn-plate3-18.raw,2:B,0.467,30045.11833,1.392,5949.69104,0,0,0,0,0,0,1.266,5629.87129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19446.18098
52296.17806,0,19591.94971,1.042356705,20.86747592,0,2016-Dec14-1536-CN-Plate3-34.Raw,2016-dec14-1536-cn-plate3-34.raw,3:B,0.467,11851.53806,1.392,52296.17806,0,0,0,0,0,0,0,0,0,0,1.311,1828.39621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,19591.94971
5621.41488,0,19377.80648,0.948682226,2.064063489,0,2016-Dec14-1536-CN-Plate3-50.Raw,2016-dec14-1536-cn-plate3-50.raw,4:B,0.468,39878.77768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.073,25832.76753,1.221,5621.41488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,19377.80648
31711.49946,0,20270.54304,0.948682226,11.1309805,0,2016-Dec14-1536-CN-Plate3-66.Raw,2016-dec14-1536-cn-plate3-66.raw,5:B,0.468,30459.10332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,31711.49946,1.111,27505.05846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770,20270.54304
