product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_Additive_1 Rt(min),UV210_Additive_1 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_3 Rt(min),UV210_Additive_3 AreaAbs,UV210_Additive_5 Rt(min),UV210_Additive_5 AreaAbs,UV210_Additive_7 Rt(min),UV210_Additive_7 AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs
20862.68292,3479.44139,18347.35860,1.337543187,11.40684881,1.422319746,2016-Dec14-1536-CN-Plate4-1.Raw,2016-dec14-1536-cn-plate4-1.raw,1:A,0.466,36103.49897,0.878,3479.44139,1.391,33349.76442,1.417,20862.68292,1.769,18347.35860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15469.15258,6905.39012,19604.22970,2.843725517,16.82928554,2.641798566,2016-Dec14-1536-CN-Plate4-17.Raw,2016-dec14-1536-cn-plate4-17.raw,2:A,0.466,33264.58836,0.879,6905.39012,0,0,0,0,1.769,19604.22970,0,0,0,0,0,0,0.575,16116.77748,0.753,15469.15258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32815.94554,12811.3411,19694.23131,2.843725517,35.53815083,4.878842782,2016-Dec14-1536-CN-Plate4-33.Raw,2016-dec14-1536-cn-plate4-33.raw,3:A,0.466,27387.07097,0.880,12811.34110,0,0,0,0,1.770,19694.23131,0,0,0,0,0,0,0,0,0.754,32815.94554,0.627,22007.62787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37963.06938,15819.55199,19294.31410,2.843725517,41.96438983,6.149305922,2016-Dec14-1536-CN-Plate4-49.Raw,2016-dec14-1536-cn-plate4-49.raw,4:A,0.466,22937.79269,0.880,15819.55199,0,0,0,0,1.771,19294.31410,0,0,0,0,0,0,0,0,0.754,37963.06938,0,0,0.703,16209.83810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3736.25157,1833.19534,20883.91144,2.174082389,2.917168593,0.658352009,2016-Dec14-1536-CN-Plate4-65.Raw,2016-dec14-1536-cn-plate4-65.raw,5:A,0.468,40259.56292,0.880,1833.19534,0,0,0,0,1.771,20883.91144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,15089.10699,0.724,3736.25157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9941.03095,5718.43828,20865.97541,2.174082389,7.768371677,2.055417313,2016-Dec14-1536-CN-Plate4-81.Raw,2016-dec14-1536-cn-plate4-81.raw,6:A,0.466,39510.62577,0.879,5718.43828,0,0,0,0,1.769,20865.97541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,9941.03095,0.642,23210.78059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18591.90475,6832.53663,20564.58480,2.174082389,14.74148388,2.49185798,2016-Dec14-1536-CN-Plate4-97.Raw,2016-dec14-1536-cn-plate4-97.raw,7:A,0.466,35899.46561,0.879,6832.53663,0,0,0,0,1.769,20564.58480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,18591.90475,0,0,0.705,27909.93377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2812.9903,20633.21914,,0,1.022498095,2016-Dec14-1536-CN-Plate4-113.Raw,2016-dec14-1536-cn-plate4-113.raw,8:A,0.468,41208.84307,0.880,2812.99030,0,0,0,0,1.770,20633.21914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54943.06127,2952.3357,19968.91709,1.042356705,21.50977994,1.108849201,2016-Dec14-1536-CN-Plate4-129.Raw,2016-dec14-1536-cn-plate4-129.raw,9:A,0.467,25943.47231,0.880,2952.33570,0,0,0,0,1.769,19968.91709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392,54943.06127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54301.25019,0,20250.68606,1.042356705,20.96272395,0,2016-Dec14-1536-CN-Plate4-145.Raw,2016-dec14-1536-cn-plate4-145.raw,10:A,0.468,25227.60227,0,0,0,0,0,0,1.770,20250.68606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.393,54301.25019,0,0,1.266,6038.84598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
