product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_P2Et Rt(min),UV210_P2Et AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_15 Rt(min),UV210_Additive_15 AreaAbs,UV210_Additive_17 Rt(min),UV210_Additive_17 AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Additive_19 Rt(min),UV210_Additive_19 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_Additive_13 Rt(min),UV210_Additive_13 AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_BTMG Rt(min),UV210_BTMG AreaAbs
28680.76320,0,19344.88579,1.042356705,11.59050003,0,2017-Jan26-1536-CN-Plate1-1.Raw,2017-jan26-1536-cn-plate1-1.raw,1:A,0.463,29096.27233,0.990,11689.50897,1.392,28680.76320,1.770,19344.88579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35898.76414,0,22689.60683,1.042356705,12.36887401,0,2017-Jan26-1536-CN-Plate1-17.Raw,2017-jan26-1536-cn-plate1-17.raw,2:A,0.465,35220.87906,0.997,9326.92713,1.396,35898.76414,1.776,22689.60683,0,0,0,0,0,0,1.269,1908.00523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52714.52292,0,25497.47930,1.042356705,16.16257939,0,2017-Jan26-1536-CN-Plate1-33.Raw,2017-jan26-1536-cn-plate1-33.raw,3:A,0.465,34061.57172,0.998,8077.65829,1.396,52714.52292,1.776,25497.47930,0,0,0,0,0,0,0,0,1.315,10341.86026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5666.87165,0,23308.45062,0.948682226,1.729864191,0,2017-Jan26-1536-CN-Plate1-49.Raw,2017-jan26-1536-cn-plate1-49.raw,4:A,0.466,45482.22479,0.999,12684.47964,0,0,1.776,23308.45062,0,0,0,0,0,0,0,0,0,0,1.075,20273.43997,1.224,5666.87165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13774.88870,0,23248.49411,0.948682226,4.215754471,0,2017-Jan26-1536-CN-Plate1-65.Raw,2017-jan26-1536-cn-plate1-65.raw,5:A,0.466,41907.28609,0,0,0,0,1.776,23248.49411,0,0,0,0,0,0,0,0,0,0,0,0,1.224,13774.88870,1.113,26651.69905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13849.53914,0,23963.00266,0.948682226,4.112217946,0,2017-Jan26-1536-CN-Plate1-81.Raw,2017-jan26-1536-cn-plate1-81.raw,6:A,0.466,42762.33940,0,0,0,0,1.776,23963.00266,0,0,0,0,0,0,0,0,0,0,0,0,1.224,13849.53914,0,0,1.174,31167.25951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18910.67063,0,23979.16548,1.337543187,7.911192525,0,2017-Jan26-1536-CN-Plate1-97.Raw,2017-jan26-1536-cn-plate1-97.raw,7:A,0.467,44236.41781,0,0,0,0,1.776,23979.16548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,14824.53918,1.421,18910.67063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32824.87113,0,23526.57135,1.337543187,13.99630758,0,2017-Jan26-1536-CN-Plate1-113.Raw,2017-jan26-1536-cn-plate1-113.raw,8:A,0.466,38908.75307,0,0,0,0,1.776,23526.57135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,32824.87113,1.342,20883.22828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40249.23681,0,21934.33881,1.337543187,18.40781284,0,2017-Jan26-1536-CN-Plate1-129.Raw,2017-jan26-1536-cn-plate1-129.raw,9:A,0.467,42443.31752,0,0,0,0,1.776,21934.33881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.422,40249.23681,0,0,0,0,1.396,19522.31133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14337.83110,0,21862.03438,2.843725517,13.98755594,0,2017-Jan26-1536-CN-Plate1-145.Raw,2017-jan26-1536-cn-plate1-145.raw,10:A,0.467,35328.13413,0,0,0,0,1.776,21862.03438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,14364.79364,0.755,14337.83110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
