product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_15 Rt(min),UV210_Additive_15 AreaAbs,UV210_Additive_17 Rt(min),UV210_Additive_17 AreaAbs,UV210_Additive_19 Rt(min),UV210_Additive_19 AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_Additive_13 Rt(min),UV210_Additive_13 AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_MTBD Rt(min),UV210_MTBD AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs
61505.82374,0,21917.27067,1.337543187,28.15132537,0,2017-Jan26-1536-CN-Plate2-1.Raw,2017-jan26-1536-cn-plate2-1.raw,1:A,0.430,40682.07820,0.468,34197.01741,1.396,30320.71300,1.422,61505.82374,1.776,21917.27067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22322.95007,0,21164.93071,2.843725517,22.49487977,0,2017-Jan26-1536-CN-Plate2-17.Raw,2017-jan26-1536-cn-plate2-17.raw,2:A,0.430,36320.93849,0.468,32322.12539,0,0,0,0,1.776,21164.93071,0,0,0,0,0,0,0.576,14845.60190,0.756,22322.95007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40810.83799,0,23006.69613,2.843725517,37.83294904,0,2017-Jan26-1536-CN-Plate2-33.Raw,2017-jan26-1536-cn-plate2-33.raw,3:A,0.430,48661.07134,0.468,25116.59221,0,0,0,0,1.776,23006.69613,0,0,0,0,0,0,0,0,0.756,40810.83799,0.628,12062.53583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44360.62534,0,21812.57793,2.843725517,43.37501152,0,2017-Jan26-1536-CN-Plate2-49.Raw,2017-jan26-1536-cn-plate2-49.raw,4:A,0.429,52319.90058,0.468,21073.81361,0,0,0,0,1.776,21812.57793,0,0,0,0,0,0,0,0,0.757,44360.62534,0,0,0.704,8387.18218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14039.88134,0,22878.27737,2.174082389,10.00638892,0,2017-Jan26-1536-CN-Plate2-65.Raw,2017-jan26-1536-cn-plate2-65.raw,5:A,0.431,33641.05819,0.468,41314.15992,0,0,0,0,1.776,22878.27737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,12005.08562,0.725,14039.88134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28348.83401,0,21532.90782,2.174082389,21.4669222,0,2017-Jan26-1536-CN-Plate2-81.Raw,2017-jan26-1536-cn-plate2-81.raw,6:A,0.431,34800.32552,0.468,33981.10703,0,0,0,0,1.776,21532.90782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,28348.83401,0,0,0.645,15081.30443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43266.72223,0,21536.48223,2.174082389,32.75793304,0,2017-Jan26-1536-CN-Plate2-97.Raw,2017-jan26-1536-cn-plate2-97.raw,7:A,0.430,42947.17529,0.468,33091.61148,0,0,0,0,1.776,21536.48223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,43266.72223,0,0,0,0,0.707,21080.16011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,20925.39233,,0,0,2017-Jan26-1536-CN-Plate2-113.Raw,2017-jan26-1536-cn-plate2-113.raw,8:A,0.430,50655.19913,0.469,46373.49875,0,0,0,0,1.776,20925.39233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32843.13942,0,22032.97286,1.042356705,11.65330714,0,2017-Jan26-1536-CN-Plate2-129.Raw,2017-jan26-1536-cn-plate2-129.raw,9:A,0,0,0.469,37955.72135,0,0,0,0,1.776,22032.97286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,38460.64838,1.397,32843.13942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62524.50629,0,21643.92526,1.042356705,22.58353247,0,2017-Jan26-1536-CN-Plate2-145.Raw,2017-jan26-1536-cn-plate2-145.raw,10:A,0,0,0.469,26469.20127,0,0,0,0,1.776,21643.92526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,37969.91605,1.396,62524.50629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
