product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_P2Et Rt(min),UV210_P2Et AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Additive_18 Rt(min),UV210_Additive_18 AreaAbs,UV210_Additive_20 Rt(min),UV210_Additive_20 AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_Additive_16 Rt(min),UV210_Additive_16 AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_Additive_14 Rt(min),UV210_Additive_14 AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_BTMG Rt(min),UV210_BTMG AreaAbs
0,0,16806.73956,1.042356705,0,0,2017-Jan26-1536-CN-Plate3-1.Raw,2017-jan26-1536-cn-plate3-1.raw,1:A,0.467,38279.14409,1.011,7228.45833,1.240,922.48326,1.776,16806.73956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706.65208,0,18630.41271,1.042356705,0.296524645,0,2017-Jan26-1536-CN-Plate3-17.Raw,2017-jan26-1536-cn-plate3-17.raw,2:A,0.468,44748.34067,1.015,7743.66011,0,0,1.776,18630.41271,1.396,706.65208,0,0,0,0,1.270,6548.70621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19214.99062,1.042356705,0,0,2017-Jan26-1536-CN-Plate3-33.Raw,2017-jan26-1536-cn-plate3-33.raw,3:A,0.469,41048.84188,0,0,0,0,1.776,19214.99062,0,0,0,0,0,0,0,0,0,0,1.316,37701.92509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19387.09351,0.948682226,0,0,2017-Jan26-1536-CN-Plate3-49.Raw,2017-jan26-1536-cn-plate3-49.raw,4:A,0.468,43152.91757,1.016,6870.29204,0,0,1.776,19387.09351,0,0,0,0,0,0,0,0,0,0,0,0,1.076,23183.00819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18849.80259,0.948682226,0,0,2017-Jan26-1536-CN-Plate3-65.Raw,2017-jan26-1536-cn-plate3-65.raw,5:A,0.469,46134.73812,1.016,7880.78934,0,0,1.776,18849.80259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114,39531.75278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19481.60876,0.948682226,0,0,2017-Jan26-1536-CN-Plate3-81.Raw,2017-jan26-1536-cn-plate3-81.raw,6:A,0.469,43066.72263,0,0,0,0,1.776,19481.60876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,54296.44796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19717.69136,1.337543187,0,0,2017-Jan26-1536-CN-Plate3-97.Raw,2017-jan26-1536-cn-plate3-97.raw,7:A,0.469,42647.25040,0,0,0,0,1.776,19717.69136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,18977.92322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20427.73676,1.337543187,0,0,2017-Jan26-1536-CN-Plate3-113.Raw,2017-jan26-1536-cn-plate3-113.raw,8:A,0.469,44266.56811,0,0,0,0,1.776,20427.73676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342,36502.67838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19981.13376,1.337543187,0,0,2017-Jan26-1536-CN-Plate3-129.Raw,2017-jan26-1536-cn-plate3-129.raw,9:A,0.469,41529.58606,0,0,0,0,1.776,19981.13376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.396,58618.51881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19852.09465,2.843725517,0,0,2017-Jan26-1536-CN-Plate3-145.Raw,2017-jan26-1536-cn-plate3-145.raw,10:A,0.470,45857.07081,0,0,0,0,1.776,19852.09465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,26163.36200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
