product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_toluidine Rt(min),UV210_toluidine AreaAbs,UV210_Additive_14 Rt(min),UV210_Additive_14 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_16 Rt(min),UV210_Additive_16 AreaAbs,UV210_Additive_18 Rt(min),UV210_Additive_18 AreaAbs,UV210_Additive_20 Rt(min),UV210_Additive_20 AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_MTBD Rt(min),UV210_MTBD AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs
70617.55705,10832.42909,16795.84432,1.337543187,42.17741181,4.83710236,2017-Jan26-1536-CN-Plate4-1.Raw,2017-jan26-1536-cn-plate4-1.raw,1:A,0.431,48124.47766,0.469,23131.56637,0.598,10832.42909,1.396,24386.28416,1.422,70617.55705,1.776,16795.84432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24370.84505,12096.05555,19876.87044,2.843725517,26.14998957,4.564119735,2017-Jan26-1536-CN-Plate4-17.Raw,2017-jan26-1536-cn-plate4-17.raw,2:A,0.432,47589.47457,0.470,32044.05404,0.598,12096.05555,0,0,0,0,1.776,19876.87044,0,0,0,0,0,0,0.577,15193.22256,0.758,24370.84505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42898.14376,12534.99642,18520.12044,2.843725517,49.4018977,5.076234438,2017-Jan26-1536-CN-Plate4-33.Raw,2017-jan26-1536-cn-plate4-33.raw,3:A,0.430,56594.90277,0.469,24671.34566,0.597,12534.99642,0,0,0,0,1.776,18520.12044,0,0,0,0,0,0,0,0,0.758,42898.14376,0.628,14648.08415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36948.44493,13686.20112,19233.28331,2.843725517,40.9724255,5.336920731,2017-Jan26-1536-CN-Plate4-49.Raw,2017-jan26-1536-cn-plate4-49.raw,4:A,0.431,48887.78996,0.469,25615.33282,0.597,13686.20112,0,0,0,0,1.776,19233.28331,0,0,0,0,0,0,0,0,0.758,36948.44493,0,0,0.704,16401.12499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13413.15214,25838.31797,18738.96559,2.174082389,11.67138777,10.34141313,2017-Jan26-1536-CN-Plate4-65.Raw,2017-jan26-1536-cn-plate4-65.raw,5:A,0.432,40872.24967,0.470,37288.48031,0.598,25838.31797,0,0,0,0,1.776,18738.96559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,25838.31797,0.727,13413.15214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28393.73627,11633.57981,17433.14829,2.174082389,26.55730378,5.004939277,2017-Jan26-1536-CN-Plate4-81.Raw,2017-jan26-1536-cn-plate4-81.raw,6:A,0.432,43892.44225,0.470,29202.79249,0.598,11633.57981,0,0,0,0,1.776,17433.14829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726,28393.73627,0.645,15787.64084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39532.84078,11692.75207,16778.79106,2.174082389,38.4179882,5.226576827,2017-Jan26-1536-CN-Plate4-97.Raw,2017-jan26-1536-cn-plate4-97.raw,7:A,0.432,45862.35334,0.470,25216.06293,0.598,11692.75207,0,0,0,0,1.776,16778.79106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726,39532.84078,0,0,0.708,17852.51342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10050.84978,16720.02974,,0,4.508447326,2017-Jan26-1536-CN-Plate4-113.Raw,2017-jan26-1536-cn-plate4-113.raw,8:A,0.435,33597.03406,0.470,40387.55670,0.598,10050.84978,0,0,0,0,1.777,16720.02974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42207.73436,9921.74667,18182.06341,1.042356705,18.14790513,4.092665302,2017-Jan26-1536-CN-Plate4-129.Raw,2017-jan26-1536-cn-plate4-129.raw,9:A,0,0,0.470,29239.45299,0.598,9921.74667,0,0,0,0,1.776,18182.06341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,38911.68729,1.397,42207.73436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75751.47177,10314.93441,18967.75960,1.042356705,31.22142105,4.078605472,2017-Jan26-1536-CN-Plate4-145.Raw,2017-jan26-1536-cn-plate4-145.raw,10:A,0,0,0.470,20656.99990,0.598,10314.93441,0,0,0,0,1.776,18967.75960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,39911.41177,1.397,75751.47177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105361.7893,9995.47404,17943.15221,1.042356705,45.90521481,4.177975778,2017-Jan26-1536-CN-Plate4-161.Raw,2017-jan26-1536-cn-plate4-161.raw,11:A,0,0,0.470,4155.16539,0.598,9995.47404,0,0,0,0,1.776,17943.15221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,39233.52745,1.397,105361.7893,0,0,0,0,1.316,1394.19086,0,0,0,0,0,0,0,0,0,0,0,0
859.06786,9833.59292,17746.39300,0.948682226,0.344428756,4.155883785,2017-Jan26-1536-CN-Plate4-177.Raw,2017-jan26-1536-cn-plate4-177.raw,12:A,0,0,0.470,40805.28797,0.598,9833.59292,0,0,0,0,1.776,17746.39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,40526.91273,0,0,0,0,0,0,0,0,1.076,21146.51870,1.225,859.06786,0,0,0,0,0,0,0,0
16774.48264,10274.39025,18625.20983,0.948682226,6.408110436,4.137291746,2017-Jan26-1536-CN-Plate4-193.Raw,2017-jan26-1536-cn-plate4-193.raw,13:A,0,0,0.470,38750.24636,0.597,10274.39025,0,0,0,0,1.776,18625.20983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,38538.15952,0,0,0,0,0,0,0,0,0,0,1.224,16774.48264,1.114,30712.90886,0,0,0,0,0,0
38658.70116,10347.45876,17768.25843,0.948682226,15.48048004,4.367672894,2017-Jan26-1536-CN-Plate4-209.Raw,2017-jan26-1536-cn-plate4-209.raw,14:A,0,0,0.470,34361.01957,0.598,10347.45876,0,0,0,0,1.776,17768.25843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,38866.99536,0,0,0,0,0,0,0,0,0,0,1.224,38658.70116,0,0,1.174,33162.94266,0,0,0,0
5104.67552,10836.68250,19053.60052,1.337543187,2.68757234,4.265604219,2017-Jan26-1536-CN-Plate4-225.Raw,2017-jan26-1536-cn-plate4-225.raw,15:A,0,0,0.470,44806.16389,0.597,10836.68250,0,0,1.421,5104.67552,1.776,19053.60052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,37652.48113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,22009.96415,0,0
47447.54785,11529.40855,20565.27411,1.337543187,23.14452899,4.20468814,2017-Jan26-1536-CN-Plate4-241.Raw,2017-jan26-1536-cn-plate4-241.raw,16:A,0,0,0.469,34908.56511,0.597,11529.40855,0,0,1.421,47447.54785,1.776,20565.27411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,37359.91842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341,27322.63994
104248.684,11951.00188,20560.46887,1.337543187,50.86354716,4.359458663,2017-Jan26-1536-CN-Plate4-257.Raw,2017-jan26-1536-cn-plate4-257.raw,17:A,0,0,0.469,17537.51660,0.597,11951.00188,1.395,17965.40926,1.421,104248.684,1.776,20560.46887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,37833.97577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28031.97864,12027.18582,20698.94005,2.843725517,28.88381703,4.35789917,2017-Jan26-1536-CN-Plate4-273.Raw,2017-jan26-1536-cn-plate4-273.raw,18:A,0,0,0.469,33060.56514,0.597,12027.18582,0,0,0,0,1.776,20698.94005,0,0,0,0,0,0,0.575,14710.35825,0.757,28031.97864,0,0,0,0,0,0,0,0,0,0,0,0,0.303,39819.12346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48388.81694,11976.99742,20029.15894,2.843725517,51.52656955,4.484835381,2017-Jan26-1536-CN-Plate4-289.Raw,2017-jan26-1536-cn-plate4-289.raw,19:A,0,0,0.470,20840.88077,0.597,11976.99742,0,0,0,0,1.776,20029.15894,0,0,0,0,0,0,0,0,0.758,48388.81694,0.628,12478.15774,0,0,0,0,0,0,0,0,0,0,0.304,40709.91896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55427.36279,12997.38004,20011.34573,2.843725517,59.0740653,4.87125412,2017-Jan26-1536-CN-Plate4-305.Raw,2017-jan26-1536-cn-plate4-305.raw,20:A,0,0,0.470,18487.22651,0.598,12997.38004,0,0,0,0,1.776,20011.34573,0,0,0,0,0,0,0,0,0.759,55427.36279,0,0,0.704,8787.17019,0,0,0,0,0,0,0,0,0.305,40937.98269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10226.36165,26497.21533,19777.67850,2.174082389,8.431077782,10.04815176,2017-Jan26-1536-CN-Plate4-321.Raw,2017-jan26-1536-cn-plate4-321.raw,21:A,0,0,0.470,41907.77193,0.597,26497.21533,0,0,0,0,1.776,19777.67850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,26497.21533,0.727,10226.36165,0,0,0,0,0.304,41159.33086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27342.24028,15301.23198,20196.51167,2.174082389,22.07470925,5.682131734,2017-Jan26-1536-CN-Plate4-337.Raw,2017-jan26-1536-cn-plate4-337.raw,22:A,0,0,0.470,36195.96767,0.598,15301.23198,0,0,0,0,1.777,20196.51167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727,27342.24028,0.645,17881.34462,0,0,0.305,42078.60634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42467.70479,11972.36703,19928.74453,2.174082389,34.74690376,4.505690392,2017-Jan26-1536-CN-Plate4-353.Raw,2017-jan26-1536-cn-plate4-353.raw,23:A,0,0,0.470,28248.79272,0.597,11972.36703,0,0,0,0,1.776,19928.74453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,42467.70479,0,0,0.707,20508.99852,0.305,40084.25562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11052.80973,20537.69340,,0,4.036289343,2017-Jan26-1536-CN-Plate4-369.Raw,2017-jan26-1536-cn-plate4-369.raw,24:A,0,0,0.470,46410.80700,0.597,11052.80973,0,0,0,0,1.776,20537.69340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,42483.97535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5809.94120,3050.21709,16431.66066,1.337543187,3.546985039,1.392228616,2017-Jan26-1536-CN-Plate4-2.Raw,2017-jan26-1536-cn-plate4-2.raw,1:B,0.430,58112.32669,0.469,38445.86083,0,0,1.396,41091.78557,1.422,5809.94120,1.776,16431.66066,0.779,3050.21709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
