product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,Prod-to-IS-Ratio,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_Toluidine Rt(min),UV210_Toluidine AreaAbs,UV210_Additive_28 Rt(min),UV210_Additive_28 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_MTBD Rt(min),UV210_MTBD AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Additive_22 Rt(min),UV210_Additive_22 AreaAbs,UV210_Additive_24 Rt(min),UV210_Additive_24 AreaAbs,UV210_Additive_26 Rt(min),UV210_Additive_26 AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs
57432.20481,41579.85424,21121.21230,1.337543187,27.27757284,14.76472574,2017-Feb17-1536-CN-Plate2-1.Raw,2017-feb17-1536-cn-plate2-1.raw,A:1,0.0000,0.427,36813.86809,0.460,37858.80191,0.639,41579.85424,1.396,32068.00819,1.423,57432.20481,1.783,21121.21230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26245.53333,40239.70231,22429.43941,2.843725517,24.95662893,13.45543069,2017-Feb17-1536-CN-Plate2-2.Raw,2017-feb17-1536-cn-plate2-2.raw,A:2,0.0000,0.430,43789.01777,0.465,38071.37434,0.638,40239.70231,0,0,0,0,1.776,22429.43941,0.576,23763.59320,0.752,26245.53333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46899.79698,46799.87327,21960.61145,2.843725517,45.54864618,15.98311825,2017-Feb17-1536-CN-Plate2-3.Raw,2017-feb17-1536-cn-plate2-3.raw,A:3,0.0000,0.428,57630.85546,0.464,26584.27927,0.637,46799.87327,0,0,0,0,1.775,21960.61145,0,0,0.753,46899.79698,0.637,46799.87327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46356.45850,45511.20384,23100.94578,2.843725517,42.79858664,14.77575992,2017-Feb17-1536-CN-Plate2-4.Raw,2017-feb17-1536-cn-plate2-4.raw,A:4,0.0000,0.428,56792.44816,0.465,29411.95532,0.638,45511.20384,0,0,0,0,1.775,23100.94578,0,0,0.753,46356.45850,0,0,0.703,17395.88046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12225.77873,32654.12599,22385.83376,2.174082389,8.905135224,10.94021994,2017-Feb17-1536-CN-Plate2-5.Raw,2017-feb17-1536-cn-plate2-5.raw,A:5,0.0000,0.431,34836.98117,0.465,43595.20735,0.638,32654.12599,0,0,0,0,1.775,22385.83376,0,0,0,0,0,0,0,0,0.597,12685.43727,0.724,12225.77873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26385.14588,58953.76473,23743.21481,2.174082389,18.1199602,18.62229859,2017-Feb17-1536-CN-Plate2-6.Raw,2017-feb17-1536-cn-plate2-6.raw,A:6,0.0000,0.431,30419.42377,0.465,39375.48893,0.638,58953.76473,0,0,0,0,1.775,23743.21481,0,0,0,0,0,0,0,0,0,0,0.722,26385.14588,0.638,58953.76473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37974.36417,42874.94518,22746.17611,2.174082389,27.22195897,14.1369735,2017-Feb17-1536-CN-Plate2-7.Raw,2017-feb17-1536-cn-plate2-7.raw,A:7,0.0000,0.431,37235.62828,0.465,36741.51742,0.638,42874.94518,0,0,0,0,1.775,22746.17611,0,0,0,0,0,0,0,0,0,0,0.722,37974.36417,0,0,0.706,23951.64404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,29451.94777,23977.90117,,0,9.212216147,2017-Feb17-1536-CN-Plate2-8.Raw,2017-feb17-1536-cn-plate2-8.raw,A:8,0.0000,0.430,43803.89168,0.465,52410.68195,0.638,29451.94777,0,0,0,0,1.776,23977.90117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22973.10287,17818.26623,21673.43978,1.042356705,8.286467695,6.165933886,2017-Feb17-1536-CN-Plate2-9.Raw,2017-feb17-1536-cn-plate2-9.raw,A:9,0.0000,0,0,0.465,40802.08702,0.637,17818.26623,0,0,0,0,1.775,21673.43978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,38714.31343,1.395,22973.10287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65972.48051,23512.01916,22956.26331,1.042356705,22.46669781,7.681570008,2017-Feb17-1536-CN-Plate2-10.Raw,2017-feb17-1536-cn-plate2-10.raw,A:10,0.0000,0,0,0.465,30105.00440,0.638,23512.01916,0,0,0,0,1.776,22956.26331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,40306.44578,1.396,65972.48051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
