product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,Prod-to-IS-Ratio,UV210_Toluidine Rt(min),UV210_Toluidine AreaAbs,UV210_P2Et Rt(min),UV210_P2Et AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_Additive_21 Rt(min),UV210_Additive_21 AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_Additive_23 Rt(min),UV210_Additive_23 AreaAbs,UV210_Additive_25 Rt(min),UV210_Additive_25 AreaAbs,UV210_Additive_27 Rt(min),UV210_Additive_27 AreaAbs
35432.92429,0,19840.61735,1.042356705,13.9614152,0,2017-Feb17-1536-CN-Plate3-1.Raw,2017-feb17-1536-cn-plate3-1.raw,A:1,0.0000,0.461,29674.35157,1.007,13396.28447,1.242,1107.24445,1.400,35432.92429,1.793,19840.61735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46658.68112,3671.61045,24178.72370,1.042356705,15.08609068,1.138897103,2017-Feb17-1536-CN-Plate3-2.Raw,2017-feb17-1536-cn-plate3-2.raw,A:2,0.0000,0.465,38665.27012,1.003,15700.37113,0,0,1.396,46658.68112,1.774,24178.72370,0.923,3671.61045,1.268,7676.65340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49057.94427,7363.75558,24087.91433,1.042356705,15.9216391,2.292774962,2017-Feb17-1536-CN-Plate3-3.Raw,2017-feb17-1536-cn-plate3-3.raw,A:3,0.0000,0.468,34769.18179,1.005,15843.47262,0,0,1.397,49057.94427,1.776,24087.91433,0.925,7363.75558,0,0,1.316,24194.53140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8474.59507,0,23661.09863,0.948682226,2.548391087,0,2017-Feb17-1536-CN-Plate3-4.Raw,2017-feb17-1536-cn-plate3-4.raw,A:4,0.0000,0.468,46992.72494,1.006,14115.80933,0,0,0,0,1.776,23661.09863,0,0,0,0,0,0,1.076,27446.79218,1.225,8474.59507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32069.35226,0,26405.82562,0.948682226,8.641168314,0,2017-Feb17-1536-CN-Plate3-5.Raw,2017-feb17-1536-cn-plate3-5.raw,A:5,0.0000,0.467,43727.38744,1.005,15229.32750,0,0,0,0,1.774,26405.82562,0,0,0,0,0,0,0,0,1.223,32069.35226,1.112,35239.93401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23728.47528,0,25370.40943,0.948682226,6.654637209,0,2017-Feb17-1536-CN-Plate3-6.Raw,2017-feb17-1536-cn-plate3-6.raw,A:6,0.0000,0.468,49152.26422,1.005,15150.03358,0,0,0,0,1.775,25370.40943,0,0,0,0,0,0,0,0,1.224,23728.47528,0,0,1.174,43900.79178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18609.85506,0,24200.95258,1.337543187,7.713999512,0,2017-Feb17-1536-CN-Plate3-7.Raw,2017-feb17-1536-cn-plate3-7.raw,A:7,0.0000,0.468,45685.06656,1.007,14852.90438,0,0,0,0,1.776,24200.95258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311,19838.09823,1.422,18609.85506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41348.08845,0,28098.45724,1.337543187,14.7618925,0,2017-Feb17-1536-CN-Plate3-8.Raw,2017-feb17-1536-cn-plate3-8.raw,A:8,0.0000,0.467,41587.37155,1.005,15725.10751,0,0,0,0,1.774,28098.45724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,41348.08845,1.341,33308.13404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41407.04351,2597.67357,24862.33267,1.337543187,16.70711364,0.783617211,2017-Feb17-1536-CN-Plate3-9.Raw,2017-feb17-1536-cn-plate3-9.raw,A:9,0.0000,0.467,38901.65864,1.008,16481.80398,0,0,0,0,1.776,24862.33267,0.924,2597.67357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.422,41407.04351,0,0,1.396,41470.35269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16077.18000,0,27989.00520,2.843725517,12.25099464,0,2017-Feb17-1536-CN-Plate3-10.Raw,2017-feb17-1536-cn-plate3-10.raw,A:10,0.0000,0.469,42065.64740,1.008,15016.16947,0,0,0,0,1.777,27989.00520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,29831.31469,0.757,16077.18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
