product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,Prod-to-IS-Ratio,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_Toluidine Rt(min),UV210_Toluidine AreaAbs,UV210_Additive_21 Rt(min),UV210_Additive_21 AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_MTBD Rt(min),UV210_MTBD AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Additive_23 Rt(min),UV210_Additive_23 AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs,UV210_Additive_25 Rt(min),UV210_Additive_25 AreaAbs,UV210_Additive_27 Rt(min),UV210_Additive_27 AreaAbs
33971.96446,38992.98787,26169.62809,1.337543187,13.02243467,11.17506936,2017-Feb17-1536-CN-Plate4-1.Raw,2017-feb17-1536-cn-plate4-1.raw,A:1,0.0000,0.432,53606.74734,0.467,41858.20378,0.925,38992.98787,1.396,43506.79554,1.422,33971.96446,1.776,26169.62809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16507.11901,37836.02695,23313.33327,2.843725517,15.10135263,12.17201328,2017-Feb17-1536-CN-Plate4-2.Raw,2017-feb17-1536-cn-plate4-2.raw,A:2,0.0000,0.431,54155.95294,0.466,38326.26067,0.924,37836.02695,0,0,0,0,1.776,23313.33327,0.576,28573.89023,0.756,16507.11901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33050.60224,46136.18994,28839.14305,2.843725517,24.44251918,11.99832547,2017-Feb17-1536-CN-Plate4-3.Raw,2017-feb17-1536-cn-plate4-3.raw,A:3,0.0000,0.431,59912.21191,0.466,30909.02708,0.924,46136.18994,0,0,0,0,1.776,28839.14305,0,0,0.756,33050.60224,0.628,21071.79786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39717.81656,56100.65309,31831.56337,2.843725517,26.61192771,13.2181663,2017-Feb17-1536-CN-Plate4-4.Raw,2017-feb17-1536-cn-plate4-4.raw,A:4,0.0000,0.431,60644.96563,0.466,28391.74868,0.924,56100.65309,0,0,0,0,1.775,31831.56337,0,0,0.756,39717.81656,0,0,0.705,21847.24027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4628.42660,28342.83768,31190.02131,2.174082389,2.419663487,6.815361892,2017-Feb17-1536-CN-Plate4-5.Raw,2017-feb17-1536-cn-plate4-5.raw,A:5,0.0000,0.432,53447.41767,0.467,46341.81581,0.924,28342.83768,0,0,0,0,1.775,31190.02131,0,0,0,0,0,0,0,0,0.597,18337.66370,0.727,4628.42660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11095.28062,39039.69531,28940.52652,2.174082389,6.251282484,10.11722142,2017-Feb17-1536-CN-Plate4-6.Raw,2017-feb17-1536-cn-plate4-6.raw,A:6,0.0000,0.432,53756.06379,0.467,43866.28335,0.925,39039.69531,0,0,0,0,1.776,28940.52652,0,0,0,0,0,0,0,0,0,0,0.727,11095.28062,0.645,26005.92912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23525.75250,40904.33133,30077.05086,2.174082389,12.75397423,10.19988584,2017-Feb17-1536-CN-Plate4-7.Raw,2017-feb17-1536-cn-plate4-7.raw,A:7,0.0000,0.432,54679.81673,0.467,39041.85303,0.924,40904.33133,0,0,0,0,1.776,30077.05086,0,0,0,0,0,0,0,0,0,0,0.726,23525.75250,0,0,0.707,34911.48764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7732.19758,36850.69267,,0,1.573687702,2017-Feb17-1536-CN-Plate4-8.Raw,2017-feb17-1536-cn-plate4-8.raw,A:8,0.0000,0.432,65848.79019,0.468,48365.07841,0.925,7732.19758,0,0,0,0,1.773,36850.69267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50442.72236,0,29916.83616,1.042356705,13.18136791,0,2017-Feb17-1536-CN-Plate4-9.Raw,2017-feb17-1536-cn-plate4-9.raw,A:9,0.0000,0,0,0.467,31860.65153,0,0,0,0,0,0,1.775,29916.83616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,43728.32669,1.396,50442.72236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83104.15173,1997.05431,28648.24125,1.042356705,22.67787637,0.522821181,2017-Feb17-1536-CN-Plate4-10.Raw,2017-feb17-1536-cn-plate4-10.raw,A:10,0.0000,0,0,0.467,19475.89956,0.923,1997.05431,0,0,0,0,1.775,28648.24125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,43297.91248,1.396,83104.15173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
